in s,C1 in V
8.88158164E-02,-2.39258E+00
8.88159996E-02,-2.19727E+00
8.88161828E-02,-2.00195E+00
8.88163660E-02,-2.68555E+00
8.88165492E-02,-2.39258E+00
8.88167324E-02,-2.19727E+00
8.88169156E-02,-2.49023E+00
8.88170988E-02,-2.29492E+00
8.88172820E-02,-2.39258E+00
8.88174652E-02,-2.00195E+00
8.88176484E-02,-2.78320E+00
8.88178316E-02,-2.00195E+00
8.88180148E-02,-2.68555E+00
8.88181980E-02,-2.68555E+00
8.88183812E-02,-2.39258E+00
8.88185644E-02,-2.09961E+00
8.88187476E-02,-2.49023E+00
8.88189308E-02,-2.29492E+00
8.88191140E-02,-2.78320E+00
8.88192972E-02,-2.39258E+00
8.88194804E-02,-2.49023E+00
8.88196636E-02,-2.39258E+00
8.88198468E-02,-2.58789E+00
8.88200300E-02,-2.49023E+00
8.88202132E-02,-2.39258E+00
8.88203964E-02,-2.29492E+00
8.88205796E-02,-2.29492E+00
8.88207628E-02,-2.29492E+00
8.88209460E-02,-2.49023E+00
8.88211292E-02,-2.29492E+00
8.88213124E-02,-2.68555E+00
8.88214956E-02,-2.68555E+00
8.88216788E-02,-2.49023E+00
8.88218620E-02,-2.29492E+00
8.88220452E-02,-2.68555E+00
8.88222284E-02,-2.68555E+00
8.88224116E-02,-2.68555E+00
8.88225948E-02,-2.49023E+00
8.88227780E-02,-2.49023E+00
8.88229612E-02,-2.09961E+00
8.88231444E-02,-2.29492E+00
8.88233276E-02,-2.09961E+00
8.88235108E-02,-2.49023E+00
8.88236940E-02,-2.39258E+00
8.88238772E-02,-2.58789E+00
8.88240604E-02,-2.49023E+00
8.88242436E-02,-2.39258E+00
8.88244268E-02,-2.88086E+00
8.88246100E-02,-2.39258E+00
8.88247932E-02,-1.70898E+00
8.88249764E-02,-2.58789E+00
8.88251596E-02,-2.58789E+00
8.88253428E-02,-2.29492E+00
8.88255260E-02,-2.68555E+00
8.88257092E-02,-2.19727E+00
8.88258924E-02,-2.49023E+00
8.88260756E-02,-2.88086E+00
8.88262588E-02,-2.49023E+00
8.88264420E-02,-2.49023E+00
8.88266252E-02,-2.39258E+00
8.88268084E-02,-2.68555E+00
8.88269916E-02,-2.49023E+00
8.88271748E-02,-2.39258E+00
8.88273580E-02,-2.29492E+00
8.88275412E-02,-2.97852E+00
8.88277244E-02,-2.39258E+00
8.88279076E-02,-2.49023E+00
8.88280908E-02,-2.68555E+00
8.88282740E-02,-2.49023E+00
8.88284572E-02,-2.39258E+00
8.88286404E-02,-2.39258E+00
8.88288236E-02,-2.49023E+00
8.88290068E-02,-2.88086E+00
8.88291900E-02,-2.88086E+00
8.88293732E-02,-2.78320E+00
8.88295564E-02,-2.39258E+00
8.88297396E-02,-2.29492E+00
8.88299228E-02,-2.49023E+00
8.88301060E-02,-2.39258E+00
8.88302892E-02,-2.49023E+00
8.88304724E-02,-2.58789E+00
8.88306556E-02,-2.68555E+00
8.88308388E-02,-2.78320E+00
8.88310220E-02,-2.58789E+00
8.88312052E-02,-2.29492E+00
8.88313884E-02,-2.88086E+00
8.88315716E-02,-2.68555E+00
8.88317548E-02,-2.39258E+00
8.88319380E-02,-2.58789E+00
8.88321212E-02,-2.49023E+00
8.88323044E-02,-2.68555E+00
8.88324876E-02,-2.97852E+00
8.88326708E-02,-2.58789E+00
8.88328540E-02,-2.49023E+00
8.88330372E-02,-2.39258E+00
