in s,C1 in V
9.964805580E-02,4.03320E-01
9.964809440E-02,2.56836E-01
9.964813300E-02,1.10352E-01
9.964817160E-02,2.56836E-01
9.964821020E-02,1.10352E-01
9.964824880E-02,2.56836E-01
9.964828740E-02,2.56836E-01
9.964832600E-02,2.08008E-01
9.964836460E-02,2.56836E-01
9.964840320E-02,3.05664E-01
9.964844180E-02,3.05664E-01
9.964848040E-02,3.54492E-01
9.964851900E-02,2.56836E-01
9.964855760E-02,4.03320E-01
9.964859620E-02,3.05664E-01
9.964863480E-02,2.56836E-01
9.964867340E-02,3.54492E-01
9.964871200E-02,4.03320E-01
9.964875060E-02,3.54492E-01
9.964878920E-02,2.56836E-01
9.964882780E-02,3.05664E-01
9.964886640E-02,2.56836E-01
9.964890500E-02,3.05664E-01
9.964894360E-02,3.05664E-01
9.964898220E-02,1.59180E-01
9.964902080E-02,1.59180E-01
9.964905940E-02,3.05664E-01
9.964909800E-02,1.26953E-02
9.964913660E-02,2.08008E-01
9.964917520E-02,3.05664E-01
9.964921380E-02,1.26953E-02
9.964925240E-02,3.05664E-01
9.964929100E-02,3.54492E-01
9.964932960E-02,2.56836E-01
9.964936820E-02,3.54492E-01
9.964940680E-02,1.10352E-01
9.964944540E-02,1.10352E-01
9.964948400E-02,3.05664E-01
9.964952260E-02,2.56836E-01
9.964956120E-02,5.00977E-01
9.964959980E-02,3.05664E-01
9.964963840E-02,3.05664E-01
9.964967700E-02,4.03320E-01
9.964971560E-02,1.59180E-01
9.964975420E-02,1.59180E-01
9.964979280E-02,2.56836E-01
9.964983140E-02,4.52148E-01
9.964987000E-02,3.54492E-01
9.964990860E-02,1.10352E-01
9.964994720E-02,1.10352E-01
9.964998580E-02,2.08008E-01
9.965002440E-02,1.10352E-01
9.965006300E-02,2.08008E-01
9.965010160E-02,3.54492E-01
9.965014020E-02,2.08008E-01
9.965017880E-02,1.10352E-01
9.965021740E-02,1.26953E-02
9.965025600E-02,1.10352E-01
9.965029460E-02,3.05664E-01
9.965033320E-02,4.03320E-01
9.965037180E-02,2.56836E-01
9.965041040E-02,3.05664E-01
9.965044900E-02,3.54492E-01
9.965048760E-02,1.59180E-01
9.965052620E-02,1.10352E-01
9.965056480E-02,2.56836E-01
9.965060340E-02,2.56836E-01
9.965064200E-02,2.56836E-01
9.965068060E-02,3.54492E-01
9.965071920E-02,2.08008E-01
9.965075780E-02,2.56836E-01
9.965079640E-02,2.56836E-01
9.965083500E-02,2.56836E-01
9.965087360E-02,2.56836E-01
9.965091220E-02,2.08008E-01
9.965095080E-02,2.56836E-01
9.965098940E-02,2.08008E-01
9.965102800E-02,2.56836E-01
9.965106660E-02,2.08008E-01
9.965110520E-02,1.26953E-02
9.965114380E-02,2.08008E-01
9.965118240E-02,4.03320E-01
9.965122100E-02,3.05664E-01
9.965125960E-02,3.05664E-01
9.965129820E-02,1.10352E-01
9.965133680E-02,1.59180E-01
9.965137540E-02,3.54492E-01
9.965141400E-02,3.54492E-01
9.965145260E-02,2.56836E-01
9.965149120E-02,5.00977E-01
9.965152980E-02,1.10352E-01
9.965156840E-02,3.05664E-01
9.965160700E-02,4.03320E-01
9.965164560E-02,4.03320E-01
9.965168420E-02,2.08008E-01
9.965172280E-02,2.56836E-01
9.965176140E-02,2.08008E-01
9.965180000E-02,2.56836E-01
9.965183860E-02,1.10352E-01
9.965187720E-02,2.08008E-01
9.965191580E-02,5.00977E-01
9.965195440E-02,3.05664E-01
9.965199300E-02,1.10352E-01
9.965203160E-02,2.08008E-01
9.965207020E-02,2.56836E-01
9.965210880E-02,6.15234E-02
9.965214740E-02,5.00977E-01
9.965218600E-02,2.08008E-01
9.965222460E-02,1.10352E-01
9.965226320E-02,4.52148E-01
9.965230180E-02,2.08008E-01
9.965234040E-02,3.05664E-01
9.965237900E-02,3.05664E-01
9.965241760E-02,1.26953E-02
9.965245620E-02,4.03320E-01
9.965249480E-02,3.05664E-01
9.965253340E-02,4.03320E-01
9.965257200E-02,2.56836E-01
9.965261060E-02,4.03320E-01
9.965264920E-02,1.10352E-01
9.965268780E-02,3.54492E-01
9.965272640E-02,4.52148E-01
9.965276500E-02,1.59180E-01
9.965280360E-02,1.59180E-01
9.965284220E-02,1.10352E-01
9.965288080E-02,3.54492E-01
9.965291940E-02,2.08008E-01
9.965295800E-02,2.56836E-01
9.965299660E-02,2.08008E-01
9.965303520E-02,2.56836E-01
9.965307380E-02,4.03320E-01
9.965311240E-02,4.03320E-01
9.965315100E-02,3.54492E-01
9.965318960E-02,3.05664E-01
9.965322820E-02,2.08008E-01
9.965326680E-02,2.08008E-01
9.965330540E-02,2.56836E-01
9.965334400E-02,2.08008E-01
9.965338260E-02,2.08008E-01
9.965342120E-02,1.10352E-01
9.965345980E-02,2.08008E-01
9.965349840E-02,3.54492E-01
9.965353700E-02,1.59180E-01
9.965357560E-02,1.59180E-01
9.965361420E-02,3.05664E-01
9.965365280E-02,3.54492E-01
9.965369140E-02,2.08008E-01
9.965373000E-02,1.10352E-01
9.965376860E-02,3.54492E-01
9.965380720E-02,2.08008E-01
9.965384580E-02,3.05664E-01
9.965388440E-02,4.52148E-01
9.965392300E-02,2.08008E-01
9.965396160E-02,3.05664E-01
9.965400020E-02,2.56836E-01
9.965403880E-02,2.08008E-01
9.965407740E-02,1.10352E-01
9.965411600E-02,2.56836E-01
9.965415460E-02,3.05664E-01
9.965419320E-02,6.15234E-02
9.965423180E-02,4.03320E-01
9.965427040E-02,3.05664E-01
9.965430900E-02,6.15234E-02
9.965434760E-02,3.54492E-01
9.965438620E-02,3.54492E-01
9.965442480E-02,2.56836E-01
9.965446340E-02,2.56836E-01
9.965450200E-02,3.05664E-01
9.965454060E-02,2.56836E-01
9.965457920E-02,3.54492E-01
9.965461780E-02,2.56836E-01
9.965465640E-02,2.08008E-01
9.965469500E-02,2.56836E-01
9.965473360E-02,4.03320E-01
9.965477220E-02,2.08008E-01
9.965481080E-02,2.56836E-01
9.965484940E-02,2.08008E-01
9.965488800E-02,1.10352E-01
9.965492660E-02,2.56836E-01
9.965496520E-02,1.10352E-01
9.965500380E-02,2.08008E-01
9.965504240E-02,4.03320E-01
9.965508100E-02,2.08008E-01
9.965511960E-02,2.08008E-01
9.965515820E-02,3.05664E-01
9.965519680E-02,4.03320E-01
9.965523540E-02,2.08008E-01
9.965527400E-02,1.59180E-01
9.965531260E-02,1.59180E-01
9.965535120E-02,2.56836E-01
9.965538980E-02,1.59180E-01
9.965542840E-02,2.56836E-01
9.965546700E-02,1.59180E-01
9.965550560E-02,2.08008E-01
9.965554420E-02,2.08008E-01
9.965558280E-02,2.08008E-01
9.965562140E-02,2.08008E-01
9.965566000E-02,2.56836E-01
9.965569860E-02,2.08008E-01
9.965573720E-02,2.08008E-01
9.965577580E-02,3.05664E-01
9.965581440E-02,4.03320E-01
9.965585300E-02,3.54492E-01
9.965589160E-02,2.08008E-01
9.965593020E-02,2.08008E-01
9.965596880E-02,3.05664E-01
9.965600740E-02,3.05664E-01
9.965604600E-02,2.56836E-01
9.965608460E-02,3.05664E-01
9.965612320E-02,2.56836E-01
9.965616180E-02,3.05664E-01
9.965620040E-02,2.56836E-01
9.965623900E-02,6.15234E-02
9.965627760E-02,1.59180E-01
9.965631620E-02,1.59180E-01
9.965635480E-02,2.56836E-01
9.965639340E-02,4.03320E-01
9.965643200E-02,1.59180E-01
9.965647060E-02,3.05664E-01
9.965650920E-02,3.05664E-01
9.965654780E-02,1.59180E-01
9.965658640E-02,3.54492E-01
9.965662500E-02,3.54492E-01
9.965666360E-02,1.59180E-01
9.965670220E-02,4.03320E-01
9.965674080E-02,2.56836E-01
9.965677940E-02,2.08008E-01
9.965681800E-02,1.10352E-01
9.965685660E-02,3.54492E-01
9.965689520E-02,1.10352E-01
9.965693380E-02,2.08008E-01
9.965697240E-02,4.52148E-01
9.965701100E-02,2.56836E-01
9.965704960E-02,6.15234E-02
9.965708820E-02,1.26953E-02
9.965712680E-02,2.56836E-01
9.965716540E-02,2.08008E-01
9.965720400E-02,5.00977E-01
9.965724260E-02,1.10352E-01
9.965728120E-02,2.56836E-01
9.965731980E-02,2.56836E-01
9.965735840E-02,2.56836E-01
9.965739700E-02,3.05664E-01
9.965743560E-02,1.10352E-01
9.965747420E-02,5.00977E-01
9.965751280E-02,3.54492E-01
9.965755140E-02,3.05664E-01
9.965759000E-02,-3.61328E-02
9.965762860E-02,2.56836E-01
9.965766720E-02,3.54492E-01
9.965770580E-02,3.05664E-01
9.965774440E-02,2.08008E-01
9.965778300E-02,2.56836E-01
9.965782160E-02,2.08008E-01
9.965786020E-02,2.08008E-01
9.965789880E-02,2.08008E-01
9.965793740E-02,3.05664E-01
9.965797600E-02,1.10352E-01
9.965801460E-02,4.03320E-01
9.965805320E-02,2.08008E-01
9.965809180E-02,2.56836E-01
9.965813040E-02,2.08008E-01
9.965816900E-02,3.54492E-01
9.965820760E-02,1.10352E-01
9.965824620E-02,2.56836E-01
9.965828480E-02,3.05664E-01
9.965832340E-02,3.05664E-01
9.965836200E-02,3.05664E-01
9.965840060E-02,4.03320E-01
9.965843920E-02,3.54492E-01
9.965847780E-02,2.08008E-01
9.965851640E-02,1.10352E-01
9.965855500E-02,2.56836E-01
9.965859360E-02,1.59180E-01
9.965863220E-02,2.08008E-01
9.965867080E-02,2.56836E-01
9.965870940E-02,3.54492E-01
9.965874800E-02,2.08008E-01
9.965878660E-02,4.52148E-01
9.965882520E-02,1.59180E-01
9.965886380E-02,1.59180E-01
9.965890240E-02,3.05664E-01
9.965894100E-02,1.59180E-01
9.965897960E-02,2.56836E-01
